movie_id,title,original_language,release_date,runtime,budget,revenue,popularity,vote_average,vote_count,status,overview
600583,The Power of the Dog,en,2021-10-25,127,0.0,0.0,6.0118,6.735,2991,Released,"A domineering but charismatic rancher wages a war of intimidation on his brother's new wife and her teen son, until long-hidden secrets come to light."
261392,American Ultra,en,2015-08-19,96,28000000.0,27100000.0,4.667,6.097,2991,Released,"Mike is an unmotivated stoner whose small-town life with his live-in girlfriend, Phoebe, is suddenly turned upside down.  Unbeknownst to him, Mike is actually a highly trained, lethal sleeper agent. In the blink of an eye, as his secret past comes back to haunt him, Mike is thrust into the middle of a deadly government operation and is forced to summon his inner action-hero in order to survive."
889737,Joker: Folie à Deux,en,2024-10-01,138,190000000.0,207500287.0,10.7501,5.404,2990,Released,"While struggling with his dual identity, Arthur Fleck not only stumbles upon true love, but also finds the music that's always been inside him."
638,Lost Highway,en,1997-01-15,134,15000000.0,3836866.0,10.115,7.5,2988,Released,"A tormented jazz musician finds himself lost in an enigmatic story involving murder, surveillance, gangsters, doppelgängers, and an impossible transformation inside a prison cell."
210479,Locke,en,2014-04-10,85,2000000.0,4635300.0,4.4764,6.9,2987,Released,"Ivan Locke has worked hard to craft a good life for himself. Tonight, that life will collapse around him. On the eve of the biggest challenge of his career, Ivan receives a phone call that sets in motion a series of events that will unravel his family, job, and soul."
697843,Extraction 2,en,2023-06-09,122,65000000.0,0.0,15.7276,7.394,2986,Released,"Back from the brink of death, highly skilled commando Tyler Rake takes on another dangerous mission: saving the imprisoned family of a ruthless gangster."
313922,Green Room,en,2016-04-15,95,5000000.0,3800000.0,6.2289,6.713,2983,Released,A punk rock band is forced to fight for survival after witnessing an act of violence at a skinhead bar.
1887,Marie Antoinette,en,2006-05-24,123,40000000.0,60917189.0,6.2861,6.7,2983,Released,"A retelling of the story of France’s iconic but ill-fated queen, Marie Antoinette - from her betrothal and marriage to Louis XVI at fifteen to her reign as queen at nineteen and ultimately the fall of Versailles."
531428,Portrait of a Lady on Fire,fr,2019-09-06,121,5740000.0,9923127.0,12.2581,8.092,2979,Released,"On an isolated island in Brittany at the end of the eighteenth century, a female painter is obliged to paint a wedding portrait of a young woman."
379149,The Foreigner,en,2017-09-28,114,35000000.0,145374099.0,8.7108,6.981,2978,Released,Quan is a humble London businessman whose long-buried past erupts in a revenge-fueled vendetta when the only person left for him to love – his teenage daughter – dies in an Irish Republican Army car bombing. His relentless search to find the terrorists leads to a cat-and-mouse conflict with a British government official whose own past may hold the clues to the identities of the elusive killers.
